SampleID;x1;x2;y;RandomEffect
1;3964;8.415;5.38;2002
2;7586;8.293;3.67;2002
3;2440;0.365;5.39;2012
4;2242;8.397;3.25;2002
5;1633;3.202;5.67;2013
6;2675;8.415;4.5;2002
7;7367;8.327;3.43;2002
8;3598;5.573;4.94;2002
9;2681;8.293;1.67;2002
10;2751;0;6;2002
11;718;0.407;5.84;2013
12;4100;8.34;3.38;2002
13;2257;8.396;4.63;2002
14;1884;5.574;6.33;2002
15;2411;0.139;5.33;2012
16;836;0.363;4.82;2012
17;1710;5.414;4.11;2002
18;2136;8.427;4.91;2002
19;1802;6.114;5.6;2002
20;1616;0;4.5;2002
21;1680;0.663;4.4;2012
22;1200;5.457;4.29;2002
23;7055;8.306;4.3;2002
24;2528;5.466;4.14;2002
25;1083;5.476;3.85;2002
26;4187;3.131;2.88;2002
27;3210;5.242;3.89;2002
28;2259;5.573;6;2002
29;1988;8.427;5.22;2002
30;1701;5.438;3;2002
31;1152;5.487;4;2002
32;5477;3.158;4.57;2002
33;4843;3.787;3.14;2002
34;3517;3.15;2.82;2002
35;538;2.449;2;2002
36;408;2.71;3;2002
37;3010;3.813;5;2002
38;4614;2.951;3;2002
39;13;2.391;4.13;2002
40;17168;1.503;4.75;2002
41;1764;5.456;3.75;2002
42;6411;2.953;3.17;2002
43;2042;8.445;6.5;2002
44;12;2.42;4;2002
45;7;0.807;6.74;2002
46;15;2.349;5.3;2002
47;5482;3.369;3.73;2002
48;932;0;3.45;2002
49;1880;8.539;4.91;2002
50;6;2.173;6.7;2002
51;6369;0;3.57;2002
52;1330;2.714;2.33;2002
53;4;0.807;6;2002
54;1;1.241;5.89;2002
55;654;1.399;5.81;2002
56;26;0;6.29;2002
57;2;0.254;5.73;2002
58;5259;0.502;5.95;2013
59;1681;5.484;3.83;2002
60;5;1.711;7.13;2002
61;4;1.251;5.5;2002
62;1531;5.465;3.86;2002
63;20;1.711;7.44;2002
64;70;3.846;6.5;2013
65;5;1.371;5.23;2002
66;4;0.712;5.2;2002
67;105;0.063;5.9;2013
68;3618;3.49;4.5;2002
69;0;1.274;6.69;2002
70;5533;1.578;4.14;2002
71;709;3.82;6;2002
72;14;2.416;5.33;2002
73;1;1.512;7;2002
74;11445;8.54;5.25;2002
75;1659;8.436;2.5;2002
76;504;1.397;6.11;2002
77;95;1.386;6;2002
78;7;2.423;4.5;2002
79;4;1.38;6.92;2002
80;4;0.181;4;2002
81;4;1.536;6.07;2002
82;3;1.274;6.25;2002
83;2;1.248;5.57;2002
84;1;2.213;5.43;2002
85;1;1.28;5.65;2002
